"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","url","categoryName"
"Nhà Hàng Thanh Xuân","4.3","42","2GJ8+V7W, Qua Cầu Hòa Lạc (Đi Xuân Mai, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 945 931 186","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20Xu%C3%A2n&query_place_id=ChIJQ6oEpPJbNDERFio1HWcOy68","Nhà hàng"
"Nhà Hàng Vịt Tiến Hưng","4.8","6","Gần, Asean Resort","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 976 265 742","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20V%E1%BB%8Bt%20Ti%E1%BA%BFn%20H%C6%B0ng&query_place_id=ChIJ81lYWABbNDERtlgh_-eNwWg","Nhà hàng"
"Nhà Hàng Gà Hà Đạo","4.2","99","Đồng Trạng","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 329 909 391","Nhà hàng thịt gà",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20H%C3%A0%20%C4%90%E1%BA%A1o&query_place_id=ChIJbXvJ3_hbNDERkTfN17KHvAs","Nhà hàng thịt gà"
"Nhà Hàng Thập Phương","4.5","15","Số 150 Đồng Trạng","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 984 945 519","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Nha%CC%80%20Ha%CC%80ng%20Th%C3%A2%CC%A3p%20Ph%C6%B0%C6%A1ng&query_place_id=ChIJaU5Mr2tZNDEROzOQJlTebQM","Nhà hàng"
"Nhà Hàng An Phát","4.7","3","567 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 523 518 888","Nhà hàng món nướng",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20An%20Ph%C3%A1t&query_place_id=ChIJ81ZOOgBZNDERwnCyuZpb9GI","Nhà hàng món nướng"
"Nhà Hàng Trường Sa ( Phở Lý Quốc Sư, Cơm Xe Tải, Lẩu các loại )","4.7","3","Thôn Đoàn Kết","Hà Nội","Hòa Lạc, Hà Nội","VN",,"","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Tr%C6%B0%E1%BB%9Dng%20Sa%20(%20Ph%E1%BB%9F%20L%C3%BD%20Qu%E1%BB%91c%20S%C6%B0%2C%20C%C6%A1m%20Xe%20T%E1%BA%A3i%2C%20L%E1%BA%A9u%20c%C3%A1c%20lo%E1%BA%A1i%20)&query_place_id=ChIJP-DqBQBZNDERM1fQ6STkVrk","Nhà hàng món lẩu"
"Bún Cá Đạo Thủy","4.4","62","2GR5+WVW, QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 985 294 656","Nhà hàng chuyên phục vụ bữa sáng",,,,"https://www.google.com/maps/search/?api=1&query=B%C3%BAn%20C%C3%A1%20%C4%90%E1%BA%A1o%20Th%E1%BB%A7y&query_place_id=ChIJT0qrpKtZNDEREZ-rlqiI1gY","Nhà hàng chuyên phục vụ bữa sáng"
"Miền Trung Quán","4.2","14",,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 989 496 007","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=Mi%E1%BB%81n%20Trung%20Qu%C3%A1n&query_place_id=ChIJuZcicn5bNDERLuMXKjKBaRQ","Nhà hàng"
"Canh Cá rô Dung Thuận","4.6","47","2GR6+5H","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 985 229 876","Quán mì",,,,"https://www.google.com/maps/search/?api=1&query=Canh%20C%C3%A1%20r%C3%B4%20Dung%20Thu%E1%BA%ADn&query_place_id=ChIJOQy8BINZNDERRlspIBuMkPU","Quán mì"
"Cồ thủy","5","1","405 QL21A","Hà Nội","Đoài Phương, Hà Nội","VN",,"+84 982 101 577","Nhà hàng",,,,"https://www.google.com/maps/search/?api=1&query=C%E1%BB%93%20th%E1%BB%A7y&query_place_id=ChIJcbTjHgBZNDERVO-wJZ_X0tU","Nhà hàng"
