"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","url","categoryName"
"ALO CHICKEN BÌNH YÊN","5","1","Đối Diện UBND","Hà Nội","Hạ Bằng, Hà Nội","VN",,"","Nhà hàng Hàn Quốc",,,,,,"https://www.google.com/maps/search/?api=1&query=ALO%20CHICKEN%20B%C3%8CNH%20Y%C3%8AN&query_place_id=ChIJgbjgdopZNDERp7QGLF_tmjI","Nhà hàng Hàn Quốc"
"🍜🍚Phở Bò Cơm Rang Mạnh Thiện Uỷ Ban😍",,,"437 Hạ Bằng","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 397 967 714","Nhà hàng châu Á",,,,,,"https://www.google.com/maps/search/?api=1&query=%F0%9F%8D%9C%F0%9F%8D%9APh%E1%BB%9F%20B%C3%B2%20C%C6%A1m%20Rang%20M%E1%BA%A1nh%20Thi%E1%BB%87n%20U%E1%BB%B7%20Ban%F0%9F%98%8D&query_place_id=ChIJaeNlDABZNDERh84VA7zBWcU","Nhà hàng châu Á"
"Nhà Hàng Dê Thucom",,,,"Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 967 831 605","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20D%C3%AA%20Thucom&query_place_id=ChIJuwzPe7GrNTER8UL8Y_RHxf0","Nhà hàng"
"Ẩm Thực Thái Linh Gà Cá","4","55","Số 189 QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN","https://amthucthailinh.com/","+84 913 862 212","Nhà hàng","Quán bia sân vườn","Nhà hàng món lẩu",,,,"https://www.google.com/maps/search/?api=1&query=%E1%BA%A8m%20Th%E1%BB%B1c%20Th%C3%A1i%20Linh%20G%C3%A0%20C%C3%A1&query_place_id=ChIJteoiDOlbNDERuPJg6VauBKw","Nhà hàng"
"Nhà Hàng Gà Ri Hưng Thịnh","4","226","QL21A","Hà Nội","Hòa Lạc, Hà Nội","VN",,"+84 985 130 972","Nhà hàng thịt gà",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20H%C6%B0ng%20Th%E1%BB%8Bnh&query_place_id=ChIJKaEczJlbNDERVmOGRAXzVEQ","Nhà hàng thịt gà"
"Tuấn Hường Restaurant Lẩu Cua Đồng","4","117","2H9M+PXM","Hà Nội","Hạ Bằng, Hà Nội","VN",,"+84 962 868 988","Nhà hàng món lẩu",,,,,,"https://www.google.com/maps/search/?api=1&query=Tu%E1%BA%A5n%20H%C6%B0%E1%BB%9Dng%20Restaurant%20L%E1%BA%A9u%20Cua%20%C4%90%E1%BB%93ng&query_place_id=ChIJ2eMGmA9aNDERWMo-kIk9FxI","Nhà hàng món lẩu"
"Nhà hàng A-LỬ","5","1","40 ĐT419","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20A-L%E1%BB%AC&query_place_id=ChIJ4e1eDABZNDERHlIcC8HUW9A","Nhà hàng"
"Nhà hàng bún riêu Anh Thịnh","4.8","4","36 ĐT420","Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 987 613 358","Nhà hàng","Điểm phát chẩn đồ ăn",,,,,"https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20h%C3%A0ng%20b%C3%BAn%20ri%C3%AAu%20Anh%20Th%E1%BB%8Bnh&query_place_id=ChIJiwHQJQBZNDERolz21N8ZFKU","Nhà hàng"
"Mì Trộn Dolly","5","1","Huyện, 103 Đ. Kim Quan","Hà Nội","Thạch Thất, Hà Nội","VN",,"","Nhà hàng",,,,,,"https://www.google.com/maps/search/?api=1&query=M%C3%AC%20Tr%E1%BB%99n%20Dolly&query_place_id=ChIJm8mIUABZNDERw5PqovLatrM","Nhà hàng"
"Xưởng Mộc Quán ( Bia Hơi 183)","5","1",,"Hà Nội","Thạch Thất, Hà Nội","VN",,"+84 979 446 588","Quán bia sân vườn",,,,,,"https://www.google.com/maps/search/?api=1&query=X%C6%B0%E1%BB%9Fng%20M%E1%BB%99c%20Qu%C3%A1n%20(%20Bia%20H%C6%A1i%20183)&query_place_id=ChIJ18NIYgBZNDERnnhpnUd9_zs","Quán bia sân vườn"
