Place ID,Tên quán,Tên món ăn,Giá (VNĐ),Đơn vị,Mô tả
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Lẩu cua đồng truyền thống nguyên chất,350000,nồi,"Nồi lẩu riêu cua đồng đậm đà, nước lẩu ngọt lịm từ cua tươi giã tay"
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Lẩu cua đồng thập cẩm,450000,nồi,"Lẩu riêu cua kèm bắp bò hoa, sườn sụn heo, đậu hũ rán, giò tai"
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Bắp bò hoa tươi thêm,150000,đĩa,Thịt bắp bò hoa nhiều gân sần sật tươi ngon
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Sườn non sụn nhúng lẩu thêm,120000,đĩa,Sườn heo non giòn sần sật
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Bánh đa cua Hải Phòng nhúng lẩu,20000,đĩa,Bánh đa đỏ Hải Phòng nhúng lẩu riêu ngon đúng điệu
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Ốc xào măng chua cay,90000,đĩa,Ốc đá xào măng chua cay đậm đà kích thích vị giác
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,Nem chua rán giòn,50000,đĩa,Nem chua rán nóng hổi giòn rụm chấm tương ớt
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Lẩu cua đồng bắp bò sườn sụn đặc biệt,450000,nồi,Món ăn thương hiệu của nhà hàng với gạch cua đồng 100% nguyên chất nhúng bắp bò tươi ngon
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Lẩu riêu cua sườn sụn gà ri,490000,nồi,Sự kết hợp hoàn hảo giữa riêu cua đồng béo ngậy và thịt gà ri Hòa Lạc dai ngọt
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,Gà ri đồi hấp lá chanh,250000,con,Gà ri đồi nuôi thả tự nhiên da vàng giòn
