Place ID,Tên quán,Vĩ độ,Kinh độ,Điểm đánh giá,Số lượng đánh giá,Đường/Thôn,Thành phố,Tỉnh/Trạng thái,Mã quốc gia,Website,Số điện thoại,Danh mục chính,Google Maps URL,Là quán ăn/uống
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,20.9798778,105.5287437,4.1,2525,Km 1 Hồ Chí Minh,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 902 016 669,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=Cua%20%C4%90%E1%BB%93ng%20Kh%C3%B4ng%20T%C3%AAn&query_place_id=ChIJY2b0gbFbNDERXi74nHKx-pU,1
ChIJGT99DsarNTER9MurtdDX6Ss,Trường Đại học FPT Hà Nội,21.0124167,105.5252892,4.0,1527,"Khu Công Nghệ Cao Hòa Lạc, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,https://daihoc.fpt.edu.vn/,+84 24 7300 5588,Trường đại học,https://www.google.com/maps/search/?api=1&query=Tr%C6%B0%E1%BB%9Dng%20%C4%90%E1%BA%A1i%20h%E1%BB%8Dc%20FPT%20H%C3%A0%20N%E1%BB%99i&query_place_id=ChIJGT99DsarNTER9MurtdDX6Ss,0
ChIJyZNniWirNTERIwPgyrSw_Ak,Chợ Hòa Lạc,21.0270926,105.5187454,4.3,1182,Đ. Hòa Lạc,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 378 408 816,Chợ,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJyZNniWirNTERIwPgyrSw_Ak,0
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,20.9785159,105.5295944,4.5,1135,Hòa Lạc - Thạch Thất,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://laucuadongthanhvu79.com/,+84 963 016 661,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20V%C5%A9%2079&query_place_id=ChIJpbODHC5bNDERiW0jf14vqtc,1
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,20.9810721,105.5267481,3.8,992,QL21A,Hà Nội,"Yên Xuân, Hà Nội",VN,http://phubinhhoalac.com.vn/,+84 24 6654 6091,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%201&query_place_id=ChIJMRFZHQ1bNDERcI1udLye3Y8,1
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,21.0207583,105.52018,3.8,558,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 984 421 379,Nhà hàng Việt Nam,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20379%20Minh%20Nga%201&query_place_id=ChIJ199ww-tbNDERrDQxEa4TSaY,1
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,21.0323448,105.5155642,3.8,480,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phonamnhat.com/,+84 385 748 668,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Nam%20Nh%E1%BA%A5t&query_place_id=ChIJEWVJeuRbNDERZ67UxCpedgI,1
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,20.9895645,105.5111494,4.0,426,,Hà Nội,"Yên Xuân, Hà Nội",VN,https://hozota.cukcuk.vn/order-online/,+84 904 662 000,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C3%B2%20Z%C3%B4%20Ta&query_place_id=ChIJ3RJcKxlbNDER-nVm-LJCmfc,1
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,21.0042827,105.5193727,3.7,410,,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phubinhhoalac.com.vn/,+84 981 242 299,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%202&query_place_id=ChIJDbOOXJdbNDERKd7x2P_YDZc,1
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,21.0072236,105.5179665,4.0,286,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.viet-biz.com/vua-g%C3%A0-quang-th%E1%BB%8D-097-244-79-62,+84 972 447 962,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Vua%20G%C3%A0%20Quang%20Th%E1%BB%8D&query_place_id=ChIJwQL7kHNFNDEREPyKgxZBp6w,1
