Place ID,Tên quán,Vĩ độ,Kinh độ,Điểm đánh giá,Số lượng đánh giá,Đường/Thôn,Thành phố,Tỉnh/Trạng thái,Mã quốc gia,Website,Số điện thoại,Danh mục chính,Google Maps URL,Là quán ăn/uống,Menu chi tiết
ChIJY2b0gbFbNDERXi74nHKx-pU,Cua Đồng Không Tên,20.9798778,105.5287437,4.1,2525,Km 1 Hồ Chí Minh,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 902 016 669,Nhà hàng món lẩu,https://www.google.com/maps/search/?api=1&query=Cua%20%C4%90%E1%BB%93ng%20Kh%C3%B4ng%20T%C3%AAn&query_place_id=ChIJY2b0gbFbNDERXi74nHKx-pU,Có,"Lẩu cua đồng truyền thống nguyên chất: 350,000đ/nồi (Nồi lẩu riêu cua đồng đậm đà, nước lẩu ngọt lịm từ cua tươi giã tay) | Lẩu cua đồng thập cẩm: 450,000đ/nồi (Lẩu riêu cua kèm bắp bò hoa, sườn sụn heo, đậu hũ rán, giò tai) | Bắp bò hoa tươi thêm: 150,000đ/đĩa (Thịt bắp bò hoa nhiều gân sần sật tươi ngon) | Sườn non sụn nhúng lẩu thêm: 120,000đ/đĩa (Sườn heo non giòn sần sật) | Bánh đa cua Hải Phòng nhúng lẩu: 20,000đ/đĩa (Bánh đa đỏ Hải Phòng nhúng lẩu riêu ngon đúng điệu) | Ốc xào măng chua cay: 90,000đ/đĩa (Ốc đá xào măng chua cay đậm đà kích thích vị giác) | Nem chua rán giòn: 50,000đ/đĩa (Nem chua rán nóng hổi giòn rụm chấm tương ớt)"
ChIJGT99DsarNTER9MurtdDX6Ss,Trường Đại học FPT Hà Nội,21.0124167,105.5252892,4.0,1527,"Khu Công Nghệ Cao Hòa Lạc, CT03",Hà Nội,"Hòa Lạc, Hà Nội",VN,https://daihoc.fpt.edu.vn/,+84 24 7300 5588,Trường đại học,https://www.google.com/maps/search/?api=1&query=Tr%C6%B0%E1%BB%9Dng%20%C4%90%E1%BA%A1i%20h%E1%BB%8Dc%20FPT%20H%C3%A0%20N%E1%BB%99i&query_place_id=ChIJGT99DsarNTER9MurtdDX6Ss,Không,Không áp dụng (Địa điểm phi ẩm thực)
ChIJyZNniWirNTERIwPgyrSw_Ak,Chợ Hòa Lạc,21.0270926,105.5187454,4.3,1182,Đ. Hòa Lạc,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 378 408 816,Chợ,https://www.google.com/maps/search/?api=1&query=Ch%E1%BB%A3%20H%C3%B2a%20L%E1%BA%A1c&query_place_id=ChIJyZNniWirNTERIwPgyrSw_Ak,Không,Không áp dụng (Địa điểm phi ẩm thực)
ChIJpbODHC5bNDERiW0jf14vqtc,Nhà Hàng Thanh Vũ 79,20.9785159,105.5295944,4.5,1135,Hòa Lạc - Thạch Thất,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://laucuadongthanhvu79.com/,+84 963 016 661,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20Thanh%20V%C5%A9%2079&query_place_id=ChIJpbODHC5bNDERiW0jf14vqtc,Có,"Lẩu cua đồng bắp bò sườn sụn đặc biệt: 450,000đ/nồi (Món ăn thương hiệu của nhà hàng với gạch cua đồng 100% nguyên chất nhúng bắp bò tươi ngon) | Lẩu riêu cua sườn sụn gà ri: 490,000đ/nồi (Sự kết hợp hoàn hảo giữa riêu cua đồng béo ngậy và thịt gà ri Hòa Lạc dai ngọt) | Gà ri đồi hấp lá chanh: 250,000đ/con (Gà ri đồi nuôi thả tự nhiên da vàng giòn) | Gà ri nướng than hoa: 260,000đ/con (Gà ri tẩm ướp gia vị Tây Bắc nướng than hoa thơm lừng) | Ốc nhồi thịt hấp lá gừng: 120,000đ/đĩa (Ốc đồng nhồi thịt xay thơm mùi lá gừng tươi chấm nước mắm gừng) | Đậu phụ chiên hành mỡ: 35,000đ/đĩa (Đậu hũ non chiên giòn tẩm mỡ hành béo ngậy) | Trâu gác bếp Tây Bắc Sơn La: 150,000đ/đĩa (Thịt trâu gác bếp xé nhỏ vắt chanh chấm chẳm chéo) | Khoai môn lệ phố nhân đậu xanh dừa: 45,000đ/đĩa (Nhân đậu xanh dừa ngọt ngậy ngọt ngào)"
ChIJMRFZHQ1bNDERcI1udLye3Y8,Nhà Hàng Gà Ri Phú Bình 1,20.9810721,105.5267481,3.8,992,QL21A,Hà Nội,"Yên Xuân, Hà Nội",VN,http://phubinhhoalac.com.vn/,+84 24 6654 6091,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%201&query_place_id=ChIJMRFZHQ1bNDERcI1udLye3Y8,Có,"Gà ri đắp đất nướng cái bang: 280,000đ/con (Gà ri bọc lá sen đắp đất sét nướng giữ nguyên độ ngọt thơm tự nhiên) | Gà ri bó xôi chiên giòn: 290,000đ/con (Gà ri hấp chín bọc ngoài bằng lớp xôi nếp chiên phồng giòn tan) | Gà ri hấp lá chanh da giòn: 240,000đ/con (Gà ta thả đồi dai ngọt da vàng óng ả) | Gà ri chiên mắm xóc tỏi ớt: 140,000đ/đĩa (Thịt gà ri chiên giòn xóc muối ớt cay tê đậm đà) | Lẩu gà ri hầm sả gừng tươi: 380,000đ/nồi (Nước lẩu ngọt lịm thơm nồng vị sả gừng tươi hầm gà ri đồi) | Xôi trắng mỡ hành phi: 25,000đ/đĩa (Xôi nếp nương đồ dẻo thơm rưới mỡ hành)"
ChIJ199ww-tbNDERrDQxEa4TSaY,Nhà Hàng 379 Minh Nga 1,21.0207583,105.52018,3.8,558,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,,+84 984 421 379,Nhà hàng Việt Nam,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20379%20Minh%20Nga%201&query_place_id=ChIJ199ww-tbNDERrDQxEa4TSaY,Có,"Lẩu riêu cua sườn sụn đặc sản 379: 399,000đ/nồi (Lẩu riêu cua đồng nguyên chất siêu nhiều gạch đậm vị) | Gà ri hấp hành gừng bản quán: 240,000đ/con (Gà ri thả đồi ngọt dai đậm vị hành gừng tươi) | Trâu tươi xào măng trúc Yên Tử: 140,000đ/đĩa (Thịt trâu tươi mềm ngọt xào măng trúc giòn sần sật) | Dê tái chanh tương gừng Cát Bà: 160,000đ/đĩa (Thịt dê hấp thái mỏng cuộn lá mơ chấm tương gừng đặc sản) | Cá lăng om chuối đậu đất: 220,000đ/nồi đất (Cá lăng tươi om cùng chuối xanh, đậu phụ nướng thơm mùi nghệ, mắm tôm)"
ChIJEWVJeuRbNDERZ67UxCpedgI,Phở Nam Nhất,21.0323448,105.5155642,3.8,480,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phonamnhat.com/,+84 385 748 668,Nhà hàng phở,https://www.google.com/maps/search/?api=1&query=Ph%E1%BB%9F%20Nam%20Nh%E1%BA%A5t&query_place_id=ChIJEWVJeuRbNDERZ67UxCpedgI,Có,"Phở chín bò ta: 30,000đ/bát (Nước dùng phở bò ninh xương ống ngọt lịm kèm thịt chín thái mỏng) | Phở tái chần: 37,000đ/bát (Phở bò với thịt bò tươi chần tái mềm ngọt) | Phở nạm gầu giòn: 38,000đ/bát (Bánh phở mềm cùng nạm bò và gầu bò giòn sần sật) | Phở tái lăn đặc biệt: 45,000đ/bát (Phở bò xào tái lăn thơm mùi tỏi phi) | Trứng gà trần: 13,000đ/quả (Trứng trần nước phở béo ngậy) | Quẩy giòn: 2,000đ/chiếc (Quẩy giòn ăn kèm nước phở)"
ChIJ3RJcKxlbNDER-nVm-LJCmfc,Nhà Hàng Hò Zô Ta,20.9895645,105.5111494,4.0,426,,Hà Nội,"Yên Xuân, Hà Nội",VN,https://hozota.cukcuk.vn/order-online/,+84 904 662 000,Nhà hàng,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20H%C3%B2%20Z%C3%B4%20Ta&query_place_id=ChIJ3RJcKxlbNDER-nVm-LJCmfc,Có,"Thịt dê ré nướng sả ớt: 220,000đ/đĩa (Dê núi ré thái mỏng nướng riềng sả) | Dê tái chanh thơm mát: 180,000đ/đĩa (Thịt dê hấp tái trộn thính, vừng, nước cốt chanh thơm mát) | Lẩu dê nhúng mẻ: 399,000đ/nồi (Nước lẩu mẻ chua dịu nhúng thịt dê núi tươi ngon) | Tiết canh dê núi: 15,000đ/bát (Tiết canh dê núi sạch sành sanh chuẩn vị) | Gà đồi hấp lá chanh: 230,000đ/con (Gà đồi Yên Bình hấp lá chanh ngọt dai thơm thịt) | Lẩu gà đồi nấm tươi: 350,000đ/nồi (Lẩu gà đồi kèm rau nấm tươi mát) | Cá lăng nướng riềng mẻ: 180,000đ/đĩa (Cá lăng nướng thơm lừng đậm đà) | Cháo chim câu hạt sen: 130,000đ/tô (Cháo chim câu bồi bổ sức khỏe cùng hạt sen bùi béo) | Cơm lam nướng ống tre: 15,000đ/ống (Cơm nếp nướng thơm mùi tre nứa chấm muối vừng) | Khoai tây chiên bơ tỏi: 30,000đ/đĩa (Khai vị khoai tây chiên bơ tỏi)"
ChIJDbOOXJdbNDERKd7x2P_YDZc,Nhà Hàng Gà Ri Phú Bình 2,21.0042827,105.5193727,3.7,410,,Hà Nội,"Hòa Lạc, Hà Nội",VN,http://phubinhhoalac.com.vn/,+84 981 242 299,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Nh%C3%A0%20H%C3%A0ng%20G%C3%A0%20Ri%20Ph%C3%BA%20B%C3%ACnh%202&query_place_id=ChIJDbOOXJdbNDERKd7x2P_YDZc,Có,"Gà ri luộc nước cốt dừa: 250,000đ/con (Gà ri hấp nước cốt dừa thơm béo da giòn sần sật) | Gà ri chiên nước mắm tỏi phi: 140,000đ/đĩa (Gà ri chiên vàng giòn đảo sốt nước mắm ngon tỏi phi thơm nồng) | Lẩu gà ri chua cay kiểu Thái: 380,000đ/nồi (Nồi lẩu gà nước dùng tomyum chua cay kích thích vị giác) | Lòng mề gà xào mướp giá hành hoa: 80,000đ/đĩa (Lòng mề gà ri giòn ngon xào mướp hương thơm phức) | Canh gà lá giang miền Trung: 120,000đ/tô (Canh gà lá giang chua dịu giải nhiệt mùa hè)"
ChIJwQL7kHNFNDEREPyKgxZBp6w,Vua Gà Quang Thọ,21.0072236,105.5179665,4.0,286,QL21,Hà Nội,"Hòa Lạc, Hà Nội",VN,https://www.viet-biz.com/vua-g%C3%A0-quang-th%E1%BB%8D-097-244-79-62,+84 972 447 962,Nhà hàng thịt gà,https://www.google.com/maps/search/?api=1&query=Vua%20G%C3%A0%20Quang%20Th%E1%BB%8D&query_place_id=ChIJwQL7kHNFNDEREPyKgxZBp6w,Có,"Gà ri hấp lá chanh (Cả con): 230,000đ/con (Gà ri đồi nuôi thả tự nhiên dai ngọt da vàng giòn) | Gà ri nướng mật ong (Cả con): 270,000đ/con (Gà ri nướng mật ong thơm phức vàng óng) | Gà rang muối tỏi: 120,000đ/đĩa (Gà ta chặt miếng rang muối đậm đà sần sật) | Lẩu gà ri thuốc bắc: 350,000đ/nồi (Nồi lẩu gà ri thuốc bắc bổ dưỡng kèm rau nấm) | Xôi chim câu hành phi: 80,000đ/đĩa (Xôi nếp dẻo thơm ăn kèm thịt chim câu băm nhỏ) | Lòng mề gà xào mướp giá: 75,000đ/đĩa (Lòng mề gà ri giòn xào mướp hương thơm phức)"
